Thread ID: 70141056596960
Fiber ID: 70141066590800
Total: 0.003482
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.20      0.000     0.000     0.000     0.000        2   Rack::Test::Session#last_response 
  0.20      0.000     0.000     0.000     0.000        1   URI::Parser#convert_to_uri 
  0.20      0.000     0.000     0.000     0.000        8   Kernel#is_a? 
  0.20      0.000     0.000     0.000     0.000        1   Rack::Utils::HeaderHash#initialize 
  0.20      0.000     0.000     0.000     0.000        1   Object#in? 
  0.20      0.000     0.000     0.000     0.000        1   Rack::Response#finish 
  0.17      0.000     0.000     0.000     0.000        1   Rack::Utils::HeaderHash#merge 
  0.17      0.000     0.000     0.000     0.000        1   Mutex#synchronize 
  0.17      0.000     0.000     0.000     0.000        1   URI::Generic#relative? 
  0.17      0.000     0.000     0.000     0.000        1   Rack::Test::Session#default_env 
  0.17      0.000     0.000     0.000     0.000        1   Kernel#loop 
  0.17      0.000     0.000     0.000     0.000        4   String#force_encoding 
  0.17      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#_run__1371162033119361340__checkout__109291186151795893__callbacks 
  0.17      0.000     0.000     0.000     0.000        2   URI::Generic#path_query 
  0.17      0.000     0.000     0.000     0.000        2   ActiveRecord::ConnectionAdapters::AbstractAdapter#log 
  0.17      0.000     0.000     0.000     0.000        2   StringIO#initialize 
  0.17      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#body= 
  0.17      0.000     0.000     0.000     0.000        1   <Class::File>#size? 
  0.17      0.000     0.000     0.000     0.000        1   <Class::File>#mtime 
  0.17      0.000     0.000     0.000     0.000        3   Kernel#instance_variable_set 
  0.17      0.000     0.000     0.000     0.000        1   Enumerable#min 
  0.17      0.000     0.000     0.000     0.000        7   MonitorMixin#mon_check_owner 
  0.17      0.000     0.000     0.000     0.000        1   URI::Generic#check_scheme 
  0.17      0.000     0.000     0.000     0.000        2   Rack::MockSession#cookie_jar 
  0.17      0.000     0.000     0.000     0.000        5   ActionDispatch::Integration::Runner#integration_session 
