Thread ID: 70141056596960
Fiber ID: 70141066590800
Total: 0.033807
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.08      0.000     0.000     0.000     0.000        1   Rack::Request#POST 
  0.08      0.000     0.000     0.000     0.000        6   <Class::Journey::Router::Utils>#escape_path 
  0.08      0.000     0.000     0.000     0.000       18   NilClass#nil? 
  0.08      0.000     0.000     0.000     0.000        9   Array#zip 
  0.08      0.000     0.000     0.000     0.000        2   Rack::Request#ip 
  0.08      0.000     0.000     0.000     0.000        1   AbstractController::Rendering#view_assigns 
  0.08      0.000     0.000     0.000     0.000        1   Module#instance_methods 
  0.08      0.018     0.000     0.000     0.018        1   ActionController::MimeResponds#respond_to 
  0.08      0.000     0.000     0.000     0.000        1   ActiveRecord::QueryCache::BodyProxy#close 
  0.08      0.000     0.000     0.000     0.000        3   ActionView::LookupContext::ViewPaths#args_for_lookup 
  0.08      0.000     0.000     0.000     0.000        1   ActionController::LogSubscriber#process_action 
  0.07      0.000     0.000     0.000     0.000        7   Array#| 
  0.07      0.000     0.000     0.000     0.000        6   <Class::ActionController::Base>#logger 
  0.07      0.000     0.000     0.000     0.000        4   Object#try 
  0.07      0.001     0.000     0.000     0.001        2  *<Class::AbstractController::Base>#action_methods 
  0.07      0.000     0.000     0.000     0.000        1   Time#to_default_s 
  0.07      0.000     0.000     0.000     0.000        1   ActiveRecord::Relation#initialize 
  0.07      0.000     0.000     0.000     0.000        4  *ActiveRecord::AttributeMethods::Serialization::ClassMethods#initialize_attributes 
  0.07      0.000     0.000     0.000     0.000        6   Journey::Nodes::Node#to_sym 
  0.07      0.000     0.000     0.000     0.000       16   Hash#empty? 
  0.07      0.000     0.000     0.000     0.000        6   String#tr 
  0.07      0.005     0.000     0.000     0.005        4   #<Module:0x007f95face2920>#batting_stat_path 
  0.07      0.000     0.000     0.000     0.000        7   Rack::Utils::HeaderHash#[] 
  0.07      0.000     0.000     0.000     0.000        8   ActionDispatch::Routing::RouteSet#finalize! 
  0.07      0.001     0.000     0.000     0.001        7   <Class::ActiveRecord::Base>#connection 
  0.07      0.000     0.000     0.000     0.000        7   <Class::ActiveRecord::LogSubscriber>#runtime= 
  0.07      0.000     0.000     0.000     0.000        4   ActionView::AssetPaths#rewrite_host_and_protocol 
  0.07      0.000     0.000     0.000     0.000        6   MatchData#[] 
  0.07      0.000     0.000     0.000     0.000        3  *BrowsingTest#_run__1872042160307382491__setup__109291186151795893__callbacks 
  0.07      0.000     0.000     0.000     0.000        4   ActiveSupport::HashWithIndifferentAccess#initialize 
  0.07      0.000     0.000     0.000     0.000        3   Sprockets::Helpers::RailsHelper#digest_assets? 
  0.07      0.024     0.000     0.000     0.024        1   ActionController::Instrumentation#process_action 
  0.07      0.000     0.000     0.000     0.000        2   ActionView::Helpers::UrlHelper#add_method_to_attributes! 
  0.07      0.000     0.000     0.000     0.000        4   Rack::Session::Abstract::OptionsHash#[] 
  0.07      0.000     0.000     0.000     0.000        1   Arel::SelectManager#from 
  0.07      0.000     0.000     0.000     0.000        2   ActionController::MimeResponds::Collector#custom 
  0.07      0.000     0.000     0.000     0.000        7   <Class::ActiveRecord::LogSubscriber>#runtime 
  0.07      0.000     0.000     0.000     0.000        3   ActionDispatch::Response#body= 
  0.07      0.000     0.000     0.000     0.000        2   ActionDispatch::Http::MimeNegotiation#content_mime_type 
  0.07      0.000     0.000     0.000     0.000        5   Hash#stringify_keys 
  0.07      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#result_as_array 
  0.07      0.000     0.000     0.000     0.000        1   ActiveRecord::Scoping::Named::ClassMethods#scoped 
  0.07      0.000     0.000     0.000     0.000        2   ActionDispatch::Integration::Runner#respond_to? 
  0.07      0.017     0.000     0.000     0.017        1   ActiveRecord::Railties::ControllerRuntime#cleanup_view_runtime 
  0.07      0.000     0.000     0.000     0.000        9   Enumerable#all? 
  0.07      0.027     0.000     0.000     0.027        1   AbstractController::Rendering#process 
  0.07      0.001     0.000     0.000     0.001        2   ActionView::Helpers::AssetTagHelper::AssetIncludeTag#path_to_asset 
  0.07      0.000     0.000     0.000     0.000        2   Kernel#lambda 
  0.07      0.000     0.000     0.000     0.000       11   String#force_encoding 
  0.07      0.000     0.000     0.000     0.000        1   ActiveRecord::Locking::Optimistic::ClassMethods#locking_enabled? 
  0.07      0.000     0.000     0.000     0.000        1   URI::Generic#merge 
  0.07      0.005     0.000     0.000     0.005        7   ActionDispatch::Routing::RouteSet#generate 
  0.06      0.001     0.000     0.000     0.001        2   ActiveSupport::Inflector#apply_inflections 
  0.06      0.000     0.000     0.000     0.000        4   <Class::ActiveRecord::LogSubscriber>#reset_runtime 
  0.06      0.000     0.000     0.000     0.000        1   ActiveRecord::Relation#scoping 
  0.06      0.000     0.000     0.000     0.000        3   ActionView::Resolver#caching? 
  0.06      0.000     0.000     0.000     0.000        7   ActiveSupport::Inflector#inflections 
  0.06      0.030     0.000     0.000     0.030        1   ActiveSupport::Cache::Strategy::LocalCache::Middleware#call 
  0.06      0.000     0.000     0.000     0.000        7   Journey::Visitors::Formatter#visit_GROUP 
  0.06      0.000     0.000     0.000     0.000        7   Hash#keep_if 
  0.06      0.030     0.000     0.000     0.030        1   Rack::Runtime#call 
  0.06      0.000     0.000     0.000     0.000        2   ActiveRecord::Relation#eager_loading? 
  0.06      0.000     0.000     0.000     0.000        1   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectStatement 
  0.06      0.000     0.000     0.000     0.000        2   Rack::Session::Abstract::SessionHash#exists? 
  0.06      0.001     0.000     0.000     0.001        7   Journey::Visitors::Visitor#accept 
  0.06      0.000     0.000     0.000     0.000        2   BattingStat(id: integer, player_id: integer, legacy_id: string, at_bats: integer, hits: integer, doubles: integer, triples: integer, home_runs: integer, runs_batted: integer, created_at: datetime, updated_at: datetime)#_run__4121453530686178835__find__109291186151795893__callbacks 
  0.06      0.000     0.000     0.000     0.000       17   Array#first 
  0.06      0.000     0.000     0.000     0.000        9   Array#blank? 
