Thread ID: 70141056596960
Fiber ID: 70141066590800
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000        1   String#sub! 
   NaN      0.000     0.000     0.000     0.000        3   <Class::File>#file? 
   NaN      0.000     0.000     0.000     0.000        1   Enumerable#detect 
   NaN      0.000     0.000     0.000     0.000        1   <Class::Dir>#[] 
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::FileHandler#ext 
   NaN      0.000     0.000     0.000     0.000        2   String#initialize_copy 
   NaN      0.000     0.000     0.000     0.000        2   <Class::String>#allocate 
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::FileHandler#match? 
   NaN      0.000     0.000     0.000     0.000        1   String#chomp 
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Static#call 
   NaN      0.000     0.000     0.000     0.000        1   Rails::Application#env_config 
   NaN      0.000     0.000     0.000     0.000        1   Rails::Engine#app 
   NaN      0.000     0.000     0.000     0.000        1   Rails::Engine#call 
   NaN      0.000     0.000     0.000     0.000        1   String#=~ 
   NaN      0.000     0.000     0.000     0.000        1   String#encoding_aware? 
   NaN      0.000     0.000     0.000     0.000        1   String#blank? 
   NaN      0.000     0.000     0.000     0.000        1   Object#present? 
   NaN      0.000     0.000     0.000     0.000        1   Rails::Application#build_original_fullpath 
   NaN      0.000     0.000     0.000     0.000        1   Rails::Application#call 
   NaN      0.000     0.000     0.000     0.000        2   Rack::Request#initialize 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Test::CookieJar#hash_for 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Test::CookieJar#for 
   NaN      0.000     0.000     0.000     0.000        2   Rack::MockSession#cookie_jar 
   NaN      0.000     0.000     0.000     0.000        1   Rack::MockSession#request 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Test::Session#process_request 
   NaN      0.000     0.000     0.000     0.000        1   StringIO#length 
   NaN      0.000     0.000     0.000     0.000        1   StringIO#set_encoding 
   NaN      0.000     0.000     0.000     0.000        4   String#force_encoding 
   NaN      0.000     0.000     0.000     0.000        2   StringIO#initialize 
   NaN      0.000     0.000     0.000     0.000        2   <Class::StringIO>#allocate 
   NaN      0.000     0.000     0.000     0.000        1   NilClass#to_s 
   NaN      0.000     0.000     0.000     0.000        1   Kernel#URI 
   NaN      0.000     0.000     0.000     0.000        1   <Class::Rack::MockRequest>#env_for 
   NaN      0.000     0.000     0.000     0.000        1   Hash#has_key? 
   NaN      0.000     0.000     0.000     0.000        2   Hash#delete 
   NaN      0.000     0.000     0.000     0.000       16   Module#=== 
